116,こめ　［うるち米製品］　アルファ化米　学校給食用強化品　,1.00,3.88,0.06,0.01,0.848,1
117,こめ　［うるち米製品］　おにぎり　　,1.00,1.79,0.027,0.003,0.394,1
118,こめ　［うるち米製品］　焼きおにぎり　　,1.00,1.81,0.031,0.003,0.395,1
119,こめ　［うるち米製品］　きりたんぽ　　,1.00,2.10,0.032,0.004,0.462,1
120,こめ　［うるち米製品］　上新粉　　,1.00,3.62,0.062,0.009,0.785,1
121,こめ　［うるち米製品］　玄米粉　　,1.00,3.95,0.071,0.029,0.841,1
122,こめ　［うるち米製品］　米粉　　,1.00,3.74,0.06,0.007,0.819,1
123,こめ　［うるち米製品］　米粉パン　　,1.00,2.55,0.034,0.031,0.513,1
124,こめ　［うるち米製品］　米粉めん　　,1.00,2.65,0.036,0.007,0.584,1
125,こめ　［うるち米製品］　ビーフン　　,1.00,3.77,0.07,0.016,0.799,1
126,こめ　［うるち米製品］　米こうじ　　,1.00,2.86,0.058,0.017,0.592,1
127,こめ　［もち米製品］　もち　　,1.00,2.34,0.04,0.006,0.508,1
128,こめ　［もち米製品］　赤飯　　,1.00,1.90,0.043,0.006,0.419,1
129,こめ　［もち米製品］　あくまき　　,1.00,1.32,0.023,0.018,0.257,1
130,こめ　［もち米製品］　白玉粉　　,1.00,3.69,0.063,0.01,0.8,1
131,こめ　［もち米製品］　道明寺粉　　,1.00,3.72,0.071,0.007,0.804,1
132,こめ　［その他］　米ぬか　　,1.00,4.12,0.134,0.196,0.488,1
133,そば　そば粉　全層粉　　,1.00,3.61,0.12,0.031,0.696,1
134,そば　そば粉　内層粉　　,1.00,3.59,0.06,0.016,0.776,1
135,そば　そば粉　中層粉　　,1.00,3.60,0.102,0.027,0.716,1
136,そば　そば粉　表層粉　　,1.00,3.58,0.15,0.036,0.651,1
137,そば　そば米　　　,1.00,3.64,0.096,0.025,0.737,1
138,そば　そば　生　　,1.00,2.74,0.098,0.019,0.545,1
139,そば　そば　ゆで　　,1.00,1.32,0.048,0.01,0.26,1
140,そば　干しそば　乾　　,1.00,3.44,0.14,0.023,0.667,1
141,そば　干しそば　ゆで　　,1.00,1.14,0.048,0.007,0.221,1
142,とうもろこし　玄穀　黄色種　　,1.00,3.50,0.086,0.05,0.706,1
143,とうもろこし　玄穀　白色種　　,1.00,3.50,0.086,0.05,0.706,1
144,とうもろこし　コーンミール　黄色種　　,1.00,3.63,0.083,0.04,0.724,1
145,とうもろこし　コーンミール　白色種　　,1.00,3.63,0.083,0.04,0.724,1
146,とうもろこし　コーングリッツ　黄色種　　,1.00,3.55,0.082,0.01,0.764,1
147,とうもろこし　コーングリッツ　白色種　　,1.00,3.55,0.082,0.01,0.764,1
148,とうもろこし　コーンフラワー　黄色種　　,1.00,3.63,0.066,0.028,0.761,1
149,とうもろこし　コーンフラワー　白色種　　,1.00,3.63,0.066,0.028,0.761,1
150,とうもろこし　ジャイアントコーン　フライ　味付け　　,1.00,4.35,0.057,0.118,0.766,1
151,とうもろこし　ポップコーン　　　,1.00,4.84,0.102,0.228,0.596,1
152,とうもろこし　コーンフレーク　　　,1.00,3.81,0.078,0.017,0.836,1
153,はとむぎ　精白粒　　　,1.00,3.60,0.133,0.013,0.722,1
154,ひえ　精白粒　　　,1.00,3.66,0.094,0.033,0.732,1
155,もろこし　玄穀　　　,1.00,3.52,0.103,0.047,0.711,1
156,もろこし　精白粒　　　,1.00,3.64,0.095,0.026,0.741,1
157,ライむぎ　全粒粉　　　,1.00,3.34,0.127,0.027,0.707,1
158,ライむぎ　ライ麦粉　　　,1.00,3.51,0.085,0.016,0.758,1
159,穀類混合品　五穀　,1.00,3.57,0.126,0.028,0.702,1
160,＜いも類＞きくいも　塊茎　生　　　,1.00,0.35,0.019,0.004,0.147,1
161,＜いも類＞きくいも　塊茎　水煮　　　,1.00,0.28,0.016,0.005,0.113,1
162,＜いも類＞こんにゃく　精粉　　　,1.00,1.77,0.03,0.001,0.853,1
163,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,1.00,0.05,0.001,0,0.023,1
164,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,1.00,0.07,0.001,0.001,0.033,1
165,＜いも類＞こんにゃく　赤こんにゃく　　　,1.00,0.05,0.001,0,0.025,1
166,＜いも類＞こんにゃく　凍みこんにゃく　乾　　,1.00,1.67,0.033,0.014,0.771,1
167,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,1.00,0.36,0.007,0.003,0.168,1
168,＜いも類＞こんにゃく　しらたき　　　,1.00,0.06,0.002,0,0.03,1
169,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,1.00,1.34,0.012,0.002,0.319,1
170,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,1.00,1.34,0.012,0.002,0.319,1
171,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,1.00,1.63,0.014,0.002,0.39,1
172,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,1.00,1.40,0.009,0.005,0.331,1
173,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,1.00,1.40,0.009,0.002,0.337,1
174,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,1.00,2.21,0.014,0.068,0.384,1
175,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,1.00,3.03,0.031,0.006,0.719,1
176,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,1.00,1.33,0.012,0.003,0.317,1
