118,こめ　［うるち米製品］　焼きおにぎり　　,1.00,1.81,0.031,0.003,0.395
119,こめ　［うるち米製品］　きりたんぽ　　,1.00,2.10,0.032,0.004,0.462
120,こめ　［うるち米製品］　上新粉　　,1.00,3.62,0.062,0.009,0.785
121,こめ　［うるち米製品］　玄米粉　　,1.00,3.95,0.071,0.029,0.841
122,こめ　［うるち米製品］　米粉　　,1.00,3.74,0.06,0.007,0.819
123,こめ　［うるち米製品］　米粉パン　　,1.00,2.55,0.034,0.031,0.513
124,こめ　［うるち米製品］　米粉めん　　,1.00,2.65,0.036,0.007,0.584
125,こめ　［うるち米製品］　ビーフン　　,1.00,3.77,0.07,0.016,0.799
126,こめ　［うるち米製品］　米こうじ　　,1.00,2.86,0.058,0.017,0.592
127,こめ　［もち米製品］　もち　　,1.00,2.34,0.04,0.006,0.508
128,こめ　［もち米製品］　赤飯　　,1.00,1.90,0.043,0.006,0.419
129,こめ　［もち米製品］　あくまき　　,1.00,1.32,0.023,0.018,0.257
130,こめ　［もち米製品］　白玉粉　　,1.00,3.69,0.063,0.01,0.8
131,こめ　［もち米製品］　道明寺粉　　,1.00,3.72,0.071,0.007,0.804
132,こめ　［その他］　米ぬか　　,1.00,4.12,0.134,0.196,0.488
133,そば　そば粉　全層粉　　,1.00,3.61,0.12,0.031,0.696
134,そば　そば粉　内層粉　　,1.00,3.59,0.06,0.016,0.776
135,そば　そば粉　中層粉　　,1.00,3.60,0.102,0.027,0.716
136,そば　そば粉　表層粉　　,1.00,3.58,0.15,0.036,0.651
137,そば　そば米　　　,1.00,3.64,0.096,0.025,0.737
138,そば　そば　生　　,1.00,2.74,0.098,0.019,0.545
139,そば　そば　ゆで　　,1.00,1.32,0.048,0.01,0.26
140,そば　干しそば　乾　　,1.00,3.44,0.14,0.023,0.667
141,そば　干しそば　ゆで　　,1.00,1.14,0.048,0.007,0.221
142,とうもろこし　玄穀　黄色種　　,1.00,3.50,0.086,0.05,0.706
143,とうもろこし　玄穀　白色種　　,1.00,3.50,0.086,0.05,0.706
144,とうもろこし　コーンミール　黄色種　　,1.00,3.63,0.083,0.04,0.724
145,とうもろこし　コーンミール　白色種　　,1.00,3.63,0.083,0.04,0.724
146,とうもろこし　コーングリッツ　黄色種　　,1.00,3.55,0.082,0.01,0.764
147,とうもろこし　コーングリッツ　白色種　　,1.00,3.55,0.082,0.01,0.764
148,とうもろこし　コーンフラワー　黄色種　　,1.00,3.63,0.066,0.028,0.761
149,とうもろこし　コーンフラワー　白色種　　,1.00,3.63,0.066,0.028,0.761
150,とうもろこし　ジャイアントコーン　フライ　味付け　　,1.00,4.35,0.057,0.118,0.766
151,とうもろこし　ポップコーン　　　,1.00,4.84,0.102,0.228,0.596
152,とうもろこし　コーンフレーク　　　,1.00,3.81,0.078,0.017,0.836
153,はとむぎ　精白粒　　　,1.00,3.60,0.133,0.013,0.722
154,ひえ　精白粒　　　,1.00,3.66,0.094,0.033,0.732
155,もろこし　玄穀　　　,1.00,3.52,0.103,0.047,0.711
156,もろこし　精白粒　　　,1.00,3.64,0.095,0.026,0.741
157,ライむぎ　全粒粉　　　,1.00,3.34,0.127,0.027,0.707
158,ライむぎ　ライ麦粉　　　,1.00,3.51,0.085,0.016,0.758
159,穀類混合品　五穀　,1.00,3.57,0.126,0.028,0.702
160,＜いも類＞きくいも　塊茎　生　　　,1.00,0.35,0.019,0.004,0.147
161,＜いも類＞きくいも　塊茎　水煮　　　,1.00,0.28,0.016,0.005,0.113
162,＜いも類＞こんにゃく　精粉　　　,1.00,1.77,0.03,0.001,0.853
163,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,1.00,0.05,0.001,0,0.023
164,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,1.00,0.07,0.001,0.001,0.033
165,＜いも類＞こんにゃく　赤こんにゃく　　　,1.00,0.05,0.001,0,0.025
166,＜いも類＞こんにゃく　凍みこんにゃく　乾　　,1.00,1.67,0.033,0.014,0.771
167,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,1.00,0.36,0.007,0.003,0.168
168,＜いも類＞こんにゃく　しらたき　　　,1.00,0.06,0.002,0,0.03
169,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,1.00,1.34,0.012,0.002,0.319
170,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,1.00,1.34,0.012,0.002,0.319
171,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,1.00,1.63,0.014,0.002,0.39
172,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,1.00,1.40,0.009,0.005,0.331
173,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,1.00,1.40,0.009,0.002,0.337
174,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,1.00,2.21,0.014,0.068,0.384
175,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,1.00,3.03,0.031,0.006,0.719
176,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,1.00,1.33,0.012,0.003,0.317
177,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,1.00,1.32,0.012,0.003,0.314
178,＜いも類＞（さといも類）　さといも　球茎　生　　,1.00,0.58,0.015,0.001,0.131
179,＜いも類＞（さといも類）　さといも　球茎　水煮　　,1.00,0.59,0.015,0.001,0.134
180,＜いも類＞（さといも類）　さといも　球茎　冷凍　　,1.00,0.72,0.022,0.001,0.161
181,＜いも類＞（さといも類）　セレベス　球茎　生　　,1.00,0.89,0.022,0.003,0.198
182,＜いも類＞（さといも類）　セレベス　球茎　水煮　　,1.00,0.85,0.021,0.003,0.191
183,＜いも類＞（さといも類）　たけのこいも　球茎　生　　,1.00,1.03,0.017,0.004,0.235
184,＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　,1.00,0.96,0.016,0.004,0.218
185,＜いも類＞（さといも類）　みずいも　球茎　生　　,1.00,1.17,0.007,0.004,0.276
186,＜いも類＞（さといも類）　みずいも　球茎　水煮　　,1.00,1.10,0.007,0.004,0.261
187,＜いも類＞（さといも類）　やつがしら　球茎　生　　,1.00,0.97,0.03,0.007,0.205
188,＜いも類＞（さといも類）　やつがしら　球茎　水煮　　,1.00,0.93,0.027,0.006,0.2
189,＜いも類＞じゃがいも　塊茎　生　　　,1.00,0.76,0.016,0.001,0.176
190,＜いも類＞じゃがいも　塊茎　蒸し　　　,1.00,0.84,0.015,0.001,0.197
191,＜いも類＞じゃがいも　塊茎　水煮　　　,1.00,0.73,0.015,0.001,0.168
192,＜いも類＞じゃがいも　フライドポテト　　　,1.00,2.37,0.029,0.106,0.324
193,＜いも類＞じゃがいも　乾燥マッシュポテト　　　,1.00,3.57,0.066,0.006,0.828
194,＜いも類＞ヤーコン　塊根　生　　　,1.00,0.54,0.006,0.003,0.124
195,＜いも類＞ヤーコン　塊根　水煮　　　,1.00,0.44,0.006,0.003,0.099
196,＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　,1.00,1.08,0.045,0.005,0.226
197,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　,1.00,0.65,0.022,0.003,0.139
198,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　,1.00,0.59,0.02,0.003,0.126
199,＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　,1.00,1.23,0.045,0.002,0.271
200,＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　,1.00,1.21,0.028,0.007,0.267
201,＜いも類＞（やまのいも類）　だいじょ　塊根　生　　,1.00,1.09,0.026,0.001,0.25
202,＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　,1.00,3.46,0.001,0.002,0.853
203,＜でん粉・でん粉製品＞（でん粉類）　くずでん粉　　　,1.00,3.47,0.002,0.002,0.856
204,＜でん粉・でん粉製品＞（でん粉類）　米でん粉　　　,1.00,3.66,0.002,0.007,0.893
205,＜でん粉・でん粉製品＞（でん粉類）　小麦でん粉　　　,1.00,3.51,0.002,0.005,0.86
206,＜でん粉・でん粉製品＞（でん粉類）　サゴでん粉　　　,1.00,3.49,0.001,0.002,0.861
207,＜でん粉・でん粉製品＞（でん粉類）　さつまいもでん粉　　　,1.00,3.32,0.001,0.002,0.82
208,＜でん粉・でん粉製品＞（でん粉類）　じゃがいもでん粉　　　,1.00,3.30,0.001,0.001,0.816
209,＜でん粉・でん粉製品＞（でん粉類）　とうもろこしでん粉　　　,1.00,3.54,0.001,0.007,0.863
210,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　乾　　,1.00,3.56,0.002,0.002,0.877
211,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　ゆで　　,1.00,1.35,0.001,0.001,0.333
212,＜でん粉・でん粉製品＞（でん粉製品）　ごま豆腐　　　,1.00,0.81,0.015,0.043,0.091
213,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　乾　　,1.00,3.55,0,0.002,0.878
214,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　ゆで　　,1.00,0.62,0,0,0.154
215,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　生　　,1.00,1.31,0.001,0.002,0.322
216,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　　,1.00,3.53,0.002,0.003,0.867
217,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　ゆで　　,1.00,0.84,0,0.002,0.206
