"158","ダンベルフライ","10","15","3","AN","0000-00-00 00:00:00","0000-00-00 00:00:00"
"159","サイドレイズ","10","15","3","AN","0000-00-00 00:00:00","0000-00-00 00:00:00"
"160","ケーブルプッシュダウン","15","20","3","AN","0000-00-00 00:00:00","0000-00-00 00:00:00"
"161","スクワット","10","15","3","AO","0000-00-00 00:00:00","0000-00-00 00:00:00"
"162","ブルガリアンスクワット","10","15","3","AO","0000-00-00 00:00:00","0000-00-00 00:00:00"
"163","ルーマニアンデッドリフト","10","15","3","AO","0000-00-00 00:00:00","0000-00-00 00:00:00"
"164","アブローラー","10","15","3","AO","0000-00-00 00:00:00","0000-00-00 00:00:00"
"165","ショルダープレス","10","15","3","AP","0000-00-00 00:00:00","0000-00-00 00:00:00"
"166","サイドレイズ","15","20","3","AP","0000-00-00 00:00:00","0000-00-00 00:00:00"
"167","ラットプルダウン","10","15","3","AP","0000-00-00 00:00:00","0000-00-00 00:00:00"
"168","シーテッドロウ","10","15","3","AP","0000-00-00 00:00:00","0000-00-00 00:00:00"
"169","インクラインベンチプレス","8","12","3","AQ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"170","ダンベルフライ","10","15","3","AQ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"171","ケーブルクロスオーバー","15","20","3","AQ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"172","ケーブルプッシュダウン","15","20","3","AQ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"173","スクワット","10","15","3","AR","0000-00-00 00:00:00","0000-00-00 00:00:00"
"174","ブルガリアンスクワット","10","15","3","AR","0000-00-00 00:00:00","0000-00-00 00:00:00"
"175","レッグカール","10","15","3","AR","0000-00-00 00:00:00","0000-00-00 00:00:00"
"176","レッグレイズ","10","15","3","AR","0000-00-00 00:00:00","0000-00-00 00:00:00"
"177","ショルダープレス","10","15","3","AS","0000-00-00 00:00:00","0000-00-00 00:00:00"
"178","サイドレイズ","15","20","3","AS","0000-00-00 00:00:00","0000-00-00 00:00:00"
"179","リアレイズ","10","15","3","AS","0000-00-00 00:00:00","0000-00-00 00:00:00"
"180","ディップス","10","15","3","AS","0000-00-00 00:00:00","0000-00-00 00:00:00"
"181","ラットプルダウン","10","15","3","AT","0000-00-00 00:00:00","0000-00-00 00:00:00"
"182","シーテッドロウ","10","15","3","AT","0000-00-00 00:00:00","0000-00-00 00:00:00"
"183","ルーマニアンデッドリフト","10","15","3","AT","0000-00-00 00:00:00","0000-00-00 00:00:00"
"184","アブローラー","10","15","3","AT","0000-00-00 00:00:00","0000-00-00 00:00:00"
